,Location,Rank,University
559,Allahabad,316,"Sam Higginbottom Institute of Agriculture, Technology and Sciences"
560,Burla,275,Sambalpur University
561,Varanasi,552,Sampurnanand Sanskrit Vishvavidyalaya
562,Bhilwara,686,Sangam University
563,Lucknow,214,Sanjay Gandhi Post Graduate Institute of Medical Sciences
564,Amravati,193,Sant Gadge Baba Amravati University
565,Sangrur,327,Sant Longowal Institute of Engineering and Technology
566,Ghaziabad,471,Santosh University
567,Vallabh Vidyanagar,166,Sardar Patel University
568,Jodhpur,657,"Sardar Patel University of Police, Security and Criminal Justice"
569,Surat,119,"Sardar Vallabhbhai National Institute of Technology, Surat"
570,Meerut,526,Sardar Vallabhbhai Patel University of Agriculture and Technology
571,Palanpur,452,Sardarkrushinagar Dantiwada Agricultural University
572,Ambikapur,591,Sarguja University
573,Bhopal,717,Sarvepalli Radhakrishnan University
574,Thanjavur ...,70,SASTRA University
575,Karimnagar,440,Satavahana University
576,Chennai,233,Sathyabama University
577,Rajkot,102,Saurashtra University
578,Chennai,365,Saveetha University
579,Pune,10,Savitribai Phule Pune University
580,Bhopal,462,"School of Planning and Architecture, Bhopal"
581,New Delhi,314,"School of Planning and Architecture, Delhi"
582,Vijayawada,467,"School of Planning and Architecture, Vijayawada"
583,Santiniketan,735,Seacom Skills University
584,Greater Noida,132,Sharda University
585,Jammu,488,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu
586,Srinagar,383,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir
587,Srinagar,360,Sher-i-Kashmir Institute of Medical Sciences
588,Dadri,77,Shiv Nadar University
589,Kolhapur,95,Shivaji University
590,Meerut,426,Shobhit University
591,Solan,460,Shoolini University of Biotechnology and Management Sciences
592,Gurgaon,465,Shree Guru Gobind Singh Tricentenary University
593,Veraval,660,Shree Somnath Sanskrit University
594,Godhra,690,Shri Govind Guru University
595,Dehradun ...,741,Shri Guru Ram Rai Education Mission
596,Puri,668,Shri Jagannath Sanskrit Vishvavidyalaya
597,Jhunjhunu,585,Shri Jagdishprasad Jhabrmal Tibrewala University
598,New Delhi,444,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha
599,Katra,223,Shri Mata Vaishno Devi University
600,Barabanki,580,Shri Ramswaroop Memorial University
601,Gajraula,669,Shri Venkateshwara University
602,Pilani,685,Shridhar University
603,Purulia ...,509,Sidho Kanho Birsha University
604,Dumka,590,Sido Kanhu Murmu University
605,Gangtok,182,Sikkim Manipal University
606,Tadong,288,Sikkim University
607,Bhubaneswar,264,Siksha O Anusandhan University
608,Jhunjhunu,470,Singhania University
609,Udaipur,564,Sir Padampat Singhania University
610,New Delhi,207,South Asian University
611,Thiruvananthapuram,225,Sree Chitra Thirunal Institute of Medical Sciences and Technology
612,Kalady,484,Sree Sankaracharya University of Sanskrit
613,Puducherry,624,Sri Balaji Vidyapeeth
614,Kanchipuram,413,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya
615,Tehri,490,Sri Dev Suman Uttarakhand University
616,Kolar,654,Sri Devaraj Urs Academy of Higher Education and Research
617,Fatehgarh Sahib,597,Sri Guru Granth Sahib World University
618,Anantapur ...,294,Sri Krishnadevaraya University
619,Tirupati,414,Sri Padmavati Mahila Visvavidyalayam
620,Chennai,246,Sri Ramachandra University
621,Palampur,701,Sri Sai University
622,Prasanthi Nilayam,461,Sri Sathya Sai Institute of Higher Learning
623,Sehore,634,Sri Satya Sai University of Technology and Medical Sciences
624,Tumkur,619,Sri Siddhartha Academy of Higher Education
625,Cuttack,555,Sri Sri University
626,Tirupati,344,Sri Venkateswara Institute of Medical Sciences
627,Tirupati,285,Sri Venkateswara University
628,Tirupati,666,Sri Venkateswara Vedic University
629,Tirupati,544,Sri Venkateswara Veterinary University
630,Guwahati,602,Srimanta Sankaradeva University of Health Sciences
631,Chennai,13,SRM University
632,Gangtok,697,"SRM University, Sikkim"
633,Chennai,577,St. Peter's University
634,Rohtak,709,State University of Performing and Visual Arts
635,Vadodara,525,Suamandeep Vidyapeeth
636,Alwar ...,531,Sunrise University
637,Jaipur,382,Suresh Gyan Vihar University
638,Bikaner,491,Swami Keshwanand Rajasthan Agricultural University
639,Dehradun,486,Swami Rama Himalayan University
640,Nanded,196,Swami Ramanand Teerth Marathwada University
641,Meerut,393,Swami Vivekanand Subharti University
642,Sagar,714,Swami Vivekanand University
643,Bangalore,352,Swami Vivekananda Yoga Anusandhana Samsthana
644,Gandhinagar,671,Swarnim Gujarat Sports University
645,Pune,143,Symbiosis International University
646,Coimbatore ...,30,Tamil Nadu Agricultural University
647,Chennai,369,Tamil Nadu Dr Ambedkar Law University
648,Chennai,267,Tamil Nadu Dr. M.G.R.Medical University
649,Nagapattinam,537,Tamil Nadu Fisheries University
650,Tiruchirappalli,601,Tamil Nadu National Law School
651,Chennai,546,Tamil Nadu Physical Education and Sports University
652,Chennai,319,Tamil Nadu Teacher Education University
653,Chennai ...,241,Tamil Nadu Veterinary and Animal Sciences University
654,Thanjavur,456,Tamil University
655,Sri Ganganagar,692,Tantia University
656,Mumbai,100,Tata Institute of Fundamental Research
657,Mumbai,15,Tata Institute of Social Sciences
658,Moradabad,371,Teerthanker Mahaveer University
659,Nizamabad,459,Telangana University
660,New Delhi,219,TERI University
661,Tezpur,41,Tezpur University
662,Patiala,69,Thapar Institute of Engineering and Technology
663,Hyderabad,274,The English and Foreign Languages University
664,Jaipur,448,The IIS University
665,New Delhi,385,The Indian Law Institute
666,Jaipur,269,The LNM Institute of Information Technology
667,Vadodara,96,The Maharaja Sayajirao University of Baroda
668,Kochi,527,The National University of Advanced Legal Studies
669,Gurgaon ...,286,The Northcap University
670,Kolkata,189,The West Bengal National University of Juridical Sciences
671,Vellore,468,Thiruvalluvar University
672,Tirur,663,Thunchath Ezhuthachan Malayalam University
673,Pune,375,Tilak Maharashtra Vidyapeeth
674,Bhagalpur,409,Tilka Manjhi Bhagalpur University
675,Bangalore,674,Trans-disciplinary University
676,Agartala,234,Tripura University
677,Tumkur,499,Tumkur University
678,Mathura,576,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan
679,Surat,502,UKA Tarsadia University
680,Shimoga,653,"University of Agricultural and Horticultural Sciences, Shivamogga"
681,Bangalore ...,270,"University of Agricultural Sciences, Bangalore"
682,Dharwad,358,"University of Agricultural Sciences, Dharwad"
683,Raichur,609,"University of Agricultural Sciences, Raichur"
684,Allahabad,74,University of Allahabad
685,Bardhaman,82,University of Burdwan
686,Kolkata,47,University of Calcutta
687,Tenhipalam ...,36,University of Calicut
688,New Delhi,1,University of Delhi
689,Malda,312,University of Gour Banga
690,Bagalkot ...,572,"University of Horticultural Sciences, Bagalkot"
691,Hyderabad,42,University of Hyderabad
692,Jammu,212,University of Jammu
693,Kalyani,17,University of Kalyani
694,Srinagar,163,University of Kashmir
695,Thiruvananthapuram,49,University of Kerala
696,Kota,301,University of Kota
697,Lucknow,64,University of Lucknow
698,Chennai,57,University of Madras
699,Mumbai,20,University of Mumbai
700,Mysore ...,84,University of Mysore
701,Siliguri,171,University of North Bengal
702,Haridwar,617,University of Patanjali
703,Dehradun,51,University of Petroleum and Energy Studies
704,Jaipur,28,University of Rajasthan
705,Baridua,610,"University of Science and Technology, Meghalaya"
706,Solapur,245,University of Solapur
707,Shillong,535,University of Technology and Management
708,Bhubaneswar,232,Utkal University
709,Bhubaneswar,626,Utkal University of Culture
710,Pundibari,530,Uttar Banga Krishi Viswavidyalaya
711,Dehradun,516,Uttarakhand Ayurved University
712,Dehradun,243,Uttarakhand Technical University
713,Bharsar,547,Uttarakhand University of Horticulture and Forestry
714,Haridwar,645,Uttaranchal Sanskrit University
715,Dehradun,514,Uttaranchal University
716,Parbhani ...,569,Vasantrao Naik Marathwada Krishi Vidyapeeth
717,Jaunpur,284,Veer Bahadur Singh Purvanchal University
718,Arrah,582,Veer Kunwar Singh University
719,Surat,112,Veer Narmad South Gujarat University
720,Sambalpur,211,Veer Surendra Sai University of Technology
721,Chennai ...,222,Vel Tech Dr.RR and Dr.SR Technical University
722,Chennai,348,Vels University
723,Midnapore,135,Vidyasagar University
724,Guntur,338,Vignan University
725,Bellary,521,Vijayanagara Sri Krishnadevaraya University
726,Ujjain,229,Vikram University
727,Nellore,384,Vikrama Simhapuri University
728,Gangtok,719,Vinayaka Missions Sikkim University
729,Salem,224,Vinayaka Missions University
730,Hazaribag,273,Vinoba Bhave University
731,Santiniketan ...,81,Visva-Bharati University
732,Nagpur,127,Visvesvaraya National Institute of Technology
733,Belgaum,14,Visvesvaraya Technological University
734,Vellore ...,7,VIT University
735,Jaipur,594,Vivekananda Global University
736,Barasat,291,West Bengal State University
737,Kolkata,553,West Bengal University of Animal and Fishery Sciences
738,Kolkata,406,West Bengal University of Health Sciences
739,Kolkata,420,"West Bengal University of Teachers' Training, Education Planning and Administration"
740,Shillong,734,"William Carey University, India"
741,Harirajpur ...,511,Xavier University Bhubaneswar
742,Mangalore,434,Yenepoya University
743,Faridabad,366,YMCA University of Science and Technology
744,Kadapa,381,Yogi Vemana University
