,Location,Rank,University
136,Sarisha,695,Diamond Harbour Women's University
137,Dibrugarh,142,Dibrugarh University
138,Dehradun,378,DIT University
139,Dehradun,399,Doon University
140,Newai,524,Dr K.N. Modi University
141,Lucknow,25,Dr. A.P.J. Abdul Kalam Technical University
142,Jalandhar,126,Dr. B R Ambedkar National Institute of Technology Jalandhar
143,Etcherla,679,Dr. B.R. Ambedkar University
144,Aurangabad,176,Dr. Babasaheb Ambedkar Marathwada University
145,Lonere,287,Dr. Babasaheb Ambedkar Technological University
146,Dapoli,427,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth
147,Agra,282,Dr. Bhimrao Ambedkar University
148,Bilaspur,438,Dr. C.V. Raman University
149,Pune,323,Dr. D.Y. Patil Vidyapeeth
150,Sagar,242,Dr. Hari Singh Gour University
151,Chennai,370,Dr. M.G.R. Educational and Research Institute
152,Vijayawada,261,Dr. N.T.R. University of Health Sciences
153,Akola,376,Dr. Panjabrao Deshmukh Krishi Vidyapeeth
154,Faizabad,184,Dr. Ram Manohar Lohia Avadh University
155,Lucknow,415,Dr. Ram Manohar Lohiya National Law University
156,Jodhpur,407,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University
157,Lucknow,373,Dr. Shakuntala Misra Rehabilitation University
158,Nauni,356,Dr. Y.S. Parmar University of Horticulture and Forestry
159,Tadepalligudem,320,Dr.Y.S.R. Horticultural University
160,Kuppam,463,Dravidian University
161,Jorethang,600,EIILM University
162,Baru Sahib,607,Eternal University
163,Balasore ...,568,Fakir Mohan University
164,Ahmedabad,680,G.L.S. University
165,Noida,235,Galgotias University
166,Visakhapatnam,75,Gandhi Institute of Technology and Management
167,Gandhigram,205,Gandhigram Rural University
168,Mehsana,321,Ganpat University
169,Guwahati,80,Gauhati University
170,Greater Noida,293,Gautam Buddha University
171,Udaipur,519,Geetanjali University
172,Chaumuhan,309,GLA University
173,Saharanpur,560,Glocal University
174,Phagwara,528,GNA University
175,Taleigao,179,Goa University
176,Pune,479,Gokhale Institute of Politics and Economics
177,Gadchiroli,726,Gondwana University
178,Pantnagar,165,Govind Ballabh Pant University of Agriculture and Technology
179,Clement Town,573,Graphic Era Hill University
180,Dehradun,357,Graphic Era University
181,Vadodara,644,GSFC University
182,Jamnagar,387,Gujarat Ayurved University
183,Gandhinagar,473,Gujarat Forensic Sciences University
184,Gandhinagar,199,Gujarat National Law University
185,Ahmedabad,27,Gujarat Technological University
186,Ahmedabad,88,Gujarat University
187,Ahmedabad,744,Gujarat University of Transplantation Sciences
188,Ahmedabad ...,331,Gujarat Vidyapith
189,Gulbarga,175,Gulbarga University
190,Ludhiana,374,Guru Angad Dev Veterinary and Animal Sciences University
191,Bilaspur,181,Guru Ghasidas Vishwavidyalaya
192,New Delhi,32,Guru Gobind Singh Indraprastha University
193,Hisar,250,Guru Jambheshwar University of Science and Technology
194,Talwandi Sabo,649,Guru Kashi University
195,Amritsar,141,Guru Nanak Dev University
196,Hoshiarpur,647,Guru Ravidas Ayurved University
197,Haridwar,353,Gurukul Kangri Vishwavidyalaya
198,Jaipur,731,Haridev Joshi University of Journalism and Mass Communication
199,Patan,157,Hemchandracharya North Gujarat University
200,Srinagar,240,Hemwati Nandan Bahuguna Garhwal University
201,Dehradun,542,Hemwati Nandan Bahuguna Medical University
202,Raipur,254,Hidayatullah National Law University
203,Hamirpur,392,Himachal Pradesh Technical University
204,Shimla,149,Himachal Pradesh University
205,Dehradun,586,Himgiri ZEE University
206,Chennai,262,Hindustan Institute of Technology and Science
207,Mumbai,315,Homi Bhabha National Institute
208,Dehradun,534,"ICFAI University, Dehradun"
209,Baddi,718,"ICFAI University, Himachal Pradesh"
210,Ranchi,652,"ICFAI University, Jharkhand"
211,Tura,711,"ICFAI University, Meghalaya"
212,Aizawl,694,"ICFAI University, Mizoram"
213,Dimapur,707,"ICFAI University, Nagaland"
214,Durg,724,"ICFAI University, Raipur"
215,Gangtok,589,"ICFAI University, Sikkim"
216,Agartala,513,"ICFAI University, Tripura"
217,Kalujhanda,655,IEC University
218,Hyderabad,557,IFHE Hyderabad
219,Moradabad,571,IFTM University
220,Dehradun,616,IMS Unison University
221,New Delhi,203,Indian Agricultural Research Institute
222,Howrah ...,118,"Indian Institute of Engineering Science and Technology, Shibpur"
223,New Delhi,226,Indian Institute of Foreign Trade
224,Allahabad,56,Indian Institute of Information Technology Allahabad
225,Gwalior,200,Indian Institute of Information Technology and Management Gwalior
226,Chennai,337,"Indian Institute of Information Technology, Design and Manufacturing"
227,Guwahati,578,"Indian Institute of Information Technology, Guwahati"
228,Kalyani,656,"Indian Institute of Information Technology, Kalyani"
229,Kottayam,736,"Indian Institute of Information Technology, Kottayam"
230,Allahabad,613,"Indian Institute of Information Technology, Lucknow"
231,Imphal,715,"Indian Institute of Information Technology, Manipur"
232,Sri City,561,"Indian Institute of Information Technology, Sri City"
233,Una,721,"Indian Institute of Information Technology, Una"
234,Gandhinagar,556,"Indian Institute of Information Technology, Vadodara"
235,Bangalore,35,Indian Institute of Science
236,Bhopal,180,"Indian Institute of Science Education and Research, Bhopal"
237,Mohanpur,147,"Indian Institute of Science Education and Research, Kolkata"
238,Mohali,194,"Indian Institute of Science Education and Research, Mohali"
239,Pune,109,"Indian Institute of Science Education and Research, Pune"
240,Thiruvananthapuram,239,"Indian Institute of Science Education and Research, Thiruvananthapuram"
241,Thiruvananthapuram,101,Indian Institute of Space Science and Technology
242,Gandhinagar,599,Indian Institute of Teacher Education
243,Bhubaneswar,120,Indian Institute of Technology Bhubaneswar
244,Mumbai,2,Indian Institute of Technology Bombay
245,New Delhi,5,Indian Institute of Technology Delhi
246,Chandkheda,59,Indian Institute of Technology Gandhinagar
247,Guwahati,31,Indian Institute of Technology Guwahati
248,Eddumailaram,58,Indian Institute of Technology Hyderabad
249,Indore,114,Indian Institute of Technology Indore
250,Jodhpur,146,Indian Institute of Technology Jodhpur
251,Kanpur,4,Indian Institute of Technology Kanpur
252,Kharagpur,6,Indian Institute of Technology Kharagpur
253,Chennai,3,Indian Institute of Technology Madras
254,Mandi,103,Indian Institute of Technology Mandi
255,Patna,155,Indian Institute of Technology Patna
256,Roorkee,24,Indian Institute of Technology Roorkee
257,Rupnagar,145,Indian Institute of Technology Ropar
258,Varanasi,65,"Indian Institute of Technology, BHU"
259,Chennai,218,Indian Maritime University
260,Dhanbad,76,Indian School of Mines
261,Kolkata ...,29,Indian Statistical Institute
262,Bareilly ...,318,Indian Veterinary Research Institute
263,New Delhi,563,Indira Gandhi Delhi Technical University for Women
264,Mumbai,113,Indira Gandhi Institute of Development Research
265,Patna,454,"Indira Gandhi Institute of Medical Sciences, Sheikhpura"
266,Raipur,343,Indira Gandhi Krishi Vishwavidyalaya
267,Amarkantak,364,Indira Gandhi National Tribal University
268,Ziro,738,Indira Gandhi Technological and Medical Sciences University
269,Rewari,677,"Indira Gandhi University, Meerpur"
270,Khairagarh,615,Indira Kala Sangit Vishwavidyalaya
271,New Delhi,134,Indraprastha Institute of Information Technology
272,Bathu,704,Indus International University
273,Ahmedabad,497,Indus University
